group,category,subject,source_urls
1年,学年別,キャリア教育基礎,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,言語文化基礎科目Ⅱ,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,化学概論第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,化学概論第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,コンピュータリテラシー,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,健康論,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,健康・体力つくり実習,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎科学実験A1,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎科学実験B1,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎科学実験A2,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
