building_no,name,aliases,label_x,label_y,label_bbox_x0,label_bbox_y0,label_bbox_x1,label_bbox_y1
1,本館,社会連携センター,405.256,346.901,403.446,342.24,407.066,351.563
2,正門守衛所,,403.844,394.347,402.034,389.685,405.653,399.008
3,講堂,,452.409,382.237,450.599,377.576,454.219,386.899
5,A棟,,400.73,300.672,398.92,296.011,402.54,305.334
6,B棟,,444.138,305.126,442.329,300.464,445.948,309.787
7,東1号館,,406.512,281.795,404.703,277.134,408.322,286.457
8,C棟・新C棟,,411.819,252.145,410.009,247.483,413.629,256.806
9,D棟,,444.917,256.843,443.107,252.181,446.727,261.504
10,コミュニケーションパーク,,392.897,233.468,389.277,228.806,396.516,238.129
10,コミュニケーションパーク,,352.55,246.038,348.93,241.376,356.17,250.699
10,コミュニケーションパーク,,389.845,253.307,386.225,248.646,393.465,257.969
11,東4号館,,393.619,207.739,390,203.077,397.239,212.4
12,東5号館,,387.205,182.43,383.585,177.768,390.825,187.091
13,東6号館,研究設備センター,370.488,145.655,366.869,140.994,374.108,150.317
14,東7号館,産学官連携センター,402.57,159.876,398.951,155.214,406.19,164.537
15,東8号館,,387.205,113.97,383.585,109.309,390.825,118.632
16,東9号館,燃料電池イノベーション研究センター,367.26,100.661,363.64,96,370.88,105.323
17,東10号館,先端ワイヤレス・コミュニケーション研究センター; UECコミュニケーションミュージアム本館,349.627,82.086,346.007,77.425,353.247,86.748
18,東31号館,,338.726,53.786,335.106,49.125,342.345,58.448
19,東32号館,,361.574,62.241,357.955,57.579,365.194,66.902
20,職員研修所,,361.267,41.61,357.647,36.949,364.886,46.271
21,国際交流会館,,313.775,43.81,310.155,39.149,317.394,48.471
22,課外活動施設,,294.248,74.438,290.628,69.777,297.868,79.099
23,東33号館,,275,95.662,271.38,91.001,278.62,100.324
24,東34号館,,300.012,103.586,296.392,98.925,303.632,108.247
25,東35号館,UECコミュニケーションミュージアム別館,293.826,129.096,290.207,124.435,297.446,133.758
26,保健管理センター,,313.227,173.505,309.607,168.844,316.846,178.166
27,東3号館,附属図書館; 情報基盤センター,333.184,197.153,329.564,192.492,336.803,201.815
28,東2号館,キャリア支援センター; 国際教育センター,306.785,248.832,303.165,244.17,310.405,253.493
29,大学会館,,350.523,262.105,346.903,257.444,354.142,266.767
30,東36号館,,311.836,271.664,308.216,267.002,315.456,276.325
31,東37号館,,296.736,263.836,293.116,259.174,300.356,268.497
32,保育施設「UEC保育園どんぐり」,,352.032,31.984,348.413,27.323,355.652,36.645
33,東11号館,,290.839,169.895,287.122,164.883,294.556,174.907
51,学生寮（五思寮）,,239.636,222.212,236.016,217.551,243.256,226.873
52,体育館,,250.11,266.938,246.491,262.277,253.73,271.6
53,第2体育館,,263.656,285.77,260.037,281.108,267.276,290.431
54,西5号館,,237.248,303.961,233.628,299.299,240.868,308.622
55,西食堂,,236.394,326.949,232.774,322.288,240.013,331.611
56,西10号館,,268.645,336.848,265.025,332.186,272.264,341.509
57,西31号館,,228.373,351.809,224.753,347.147,231.993,356.47
58,弓道場,,206.19,236.417,202.57,231.756,209.809,241.079
59,プール,,107.173,240.174,103.553,235.513,110.793,244.835
60,西6号館,,200.797,263.091,197.177,258.43,204.417,267.753
61,西7号館,レーザー新世代研究センター,159.131,263.742,155.512,259.08,162.751,268.403
62,西11号館,フォトニックイノベーション研究センター,136.767,272.693,133.147,268.032,140.386,277.355
63,西2号館,,176.298,304.108,172.679,299.447,179.918,308.769
64,西4号館,,135.168,304.636,131.548,299.975,138.787,309.298
65,西1号館,,177.276,345.384,173.657,340.723,180.896,350.045
66,西3号館,eラーニングセンター; i-パワードエネルギー・システム研究センター,134.976,345.491,131.356,340.83,138.596,350.153
67,西8号館,,176.532,375.199,172.912,370.538,180.152,379.861
68,西9号館,,135.252,375.199,131.632,370.538,138.871,379.861
69,西門守衛所,,110.754,317.711,107.134,313.05,114.374,322.372
70,アライアンスセンター,,137.411,432.952,133.694,427.94,141.128,437.964
71,職員宿舎（UECポートロッジ）,,136.01,470.573,132.293,465.561,139.727,475.585
72,ドーム絆（学生宿舎）,,193.046,450.166,189.329,445.154,196.763,455.178
73,ドーム友達（学生宿舎）,,113.031,436.564,109.314,431.552,116.748,441.576
74,番号のみ（PDF内の名称未記載）,,154.02,456.641,150.303,451.629,157.737,461.653
75,番号のみ（PDF内の名称未記載）,,466.62,331.894,462.903,326.882,470.337,336.906
