shape_id,building_no,name,aliases,part_index,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,bbox_area,label_x,label_y,assignment_distance,assignment_quality,svg_path
building_part_001,1,本館,社会連携センター,1,418.047,322.682,409.121,316.089,426.973,329.275,17.852,13.186,235.396,405.256,346.901,27.389,low,"M 418.246,316.089 L 418.246,322.584 L 409.121,322.584 L 409.121,329.275 L 426.973,329.275 L 426.973,316.089 L 418.246,316.089 Z"
building_part_002,1,本館,社会連携センター,2,399.182,325.929,394.517,322.584,403.846,329.275,9.329,6.691,62.42,405.256,346.901,21.834,medium,"M 394.517,322.584 L 403.846,322.584 L 403.846,329.275 L 394.517,329.275 Z"
building_part_003,1,本館,社会連携センター,3,420.784,338.71,394.515,325.22,447.053,352.201,52.538,26.981,1417.529,405.256,346.901,0,high,"M 447.053,335.36 L 447.053,325.22 L 429.808,325.22 L 429.808,341.043 L 394.515,341.043 L 394.515,352.201 L 439.14,352.201 L 439.14,341.043 L 436.1,341.043 L 436.1,335.36 L 447.053,335.36 Z"
building_part_004,2,正門守衛所,,1,383.153,401.19,369.36,392.571,396.947,409.809,27.587,17.238,475.545,403.844,394.347,21.793,medium,"M 396.947,397.641 L 390.458,397.641 L 390.458,392.571 L 387.414,392.571 L 387.414,397.641 L 369.36,397.641 L 369.36,409.809 L 387.008,409.809 L 387.008,406.157 L 396.947,406.157 L 396.947,397.641 Z"
building_part_005,2,正門守衛所,,2,403.845,401.19,401.884,399.364,405.806,403.016,3.922,3.652,14.323,403.844,394.347,6.843,high,"M 401.884,399.364 L 405.806,399.364 L 405.806,403.016 L 401.884,403.016 Z"
building_part_006,3,講堂,,1,458.273,384.249,439.748,367.275,476.798,401.224,37.05,33.949,1257.81,452.409,382.237,0,high,"M 476.798,376.882 L 475.721,376.882 L 475.721,373.091 L 474.503,373.091 L 474.503,367.275 L 467.741,367.275 L 467.741,373.091 L 455.165,373.091 L 455.165,369.172 L 448.539,369.172 L 448.539,373.091 L 442.316,373.091 L 442.316,382.285 L 439.748,382.285 L 439.748,389.595 L 442.181,389.595 L 442.181,397.841 L 448.674,397.841 L 448.674,401.224 L 455.441,401.224 L 455.441,397.841 L 475.721,397.841 L 475.721,396.354 L 476.798,396.354 L 476.798,376.882 Z"
building_part_007,5,A棟,,1,407.8,300.675,391.471,296.212,424.129,305.139,32.658,8.927,291.538,400.73,300.672,0,high,"M 391.471,296.212 L 424.129,296.212 L 424.129,305.139 L 391.471,305.139 Z"
building_part_008,6,B棟,,1,448.064,301.89,431.227,285.255,464.901,318.525,33.674,33.27,1120.335,444.138,305.126,0,high,"M 457.194,287.489 L 457.194,289.517 L 455.566,289.517 L 455.566,287.489 L 453.134,285.255 L 450.905,286.88 L 450.905,293.371 L 438.938,293.371 L 438.938,303.513 L 433.258,303.513 L 431.227,305.544 L 433.258,308.382 L 434.882,308.382 L 434.882,310.205 L 433.461,310.205 L 433.461,314.468 L 438.731,314.468 L 438.731,308.584 L 441.574,308.584 L 441.574,316.7 L 443.604,316.7 L 443.604,318.525 L 454.554,318.525 L 454.554,316.906 L 462.469,316.906 L 462.469,308.584 L 464.901,308.584 L 464.901,300.068 L 461.656,296.212 L 455.566,296.212 L 455.566,293.371 L 464.499,293.371 L 464.499,287.086 L 456.811,287.086 Z"
building_part_009,7,東1号館,,1,407.189,283.839,388.831,277.145,425.546,290.532,36.715,13.387,491.503,406.512,281.795,0,high,"M 425.546,277.145 L 388.831,277.145 L 388.831,282.621 L 391.672,282.621 L 391.672,287.086 L 396.338,287.086 L 396.338,289.312 L 400.597,289.312 L 400.597,290.532 L 407.899,290.532 L 407.899,289.312 L 421.694,289.312 L 421.694,285.461 L 425.347,285.461 L 425.347,282.621 L 425.546,282.621 L 425.546,277.145 Z"
building_part_010,8,C棟・新C棟,,1,408.638,260.03,400.638,249.612,416.638,270.448,16,20.836,333.376,411.819,252.145,0,high,"M 416.638,249.612 L 400.638,249.612 L 400.959,270.448 L 416.576,270.448 L 416.638,249.612 Z"
building_part_011,8,C棟・新C棟,,2,422.982,261.635,418.972,249.612,426.992,273.659,8.02,24.047,192.857,411.819,252.145,14.652,medium,"M 426.992,249.612 L 418.972,249.612 L 419.134,273.659 L 426.961,273.659 L 426.992,249.612 Z"
building_part_012,9,D棟,,1,444.414,260.815,435.894,246.311,452.933,275.319,17.039,29.008,494.267,444.917,256.843,0,high,"M 452.933,247.73 L 441.166,247.73 L 441.166,246.311 L 435.894,246.311 L 435.894,275.319 L 441.166,275.319 L 441.166,273.494 L 452.933,273.494 L 452.933,247.73 Z"
building_part_013,11,東4号館,,1,402.323,199.303,381.126,176.382,423.519,222.225,42.393,45.843,1943.421,393.619,207.739,0,high,"M 387.009,196.206 L 401.003,196.206 L 401.003,217.612 L 387.009,217.612 Z M 410.332,191.8 L 410.332,204.376 L 407.089,204.376 L 407.089,191.8 L 387.817,191.8 L 387.817,188.754 L 400.19,188.754 L 400.19,176.382 L 381.126,176.382 L 381.126,222.225 L 407.089,222.225 L 407.089,208.633 L 410.332,208.633 L 410.332,222.225 L 423.519,222.225 L 423.519,191.8 L 410.332,191.8 Z"
building_part_014,13,東6号館,研究設備センター,1,370.676,147.724,355.564,125.004,385.788,170.444,30.224,45.44,1373.379,370.488,145.655,0,high,"M 355.564,125.004 L 385.788,125.004 L 385.788,170.444 L 355.564,170.444 Z"
building_part_015,14,東7号館,産学官連携センター,1,398.162,144.376,391.668,134.739,404.656,154.014,12.988,19.275,250.344,402.57,159.876,16.114,medium,"M 391.668,134.739 L 404.656,134.739 L 404.656,154.014 L 391.668,154.014 Z"
building_part_016,14,東7号館,産学官連携センター,2,396.136,154.521,392.688,151.578,399.585,157.463,6.897,5.885,40.589,402.57,159.876,0,high,"M 392.688,151.578 L 399.585,151.578 L 399.585,157.463 L 392.688,157.463 Z"
building_part_017,14,東7号館,産学官連携センター,3,404.044,163.039,392.482,156.041,415.606,170.037,23.124,13.996,323.643,402.57,159.876,0,high,"M 392.482,156.041 L 415.606,156.041 L 415.606,170.037 L 392.482,170.037 Z"
building_part_018,15,東8号館,,1,367.838,103.3,345.829,91.129,389.847,115.471,44.018,24.342,1071.486,387.205,113.97,0,high,"M 389.847,100.053 L 349.884,115.471 L 345.829,106.549 L 385.788,91.129 L 389.847,100.053 Z"
building_part_019,15,東8号館,,2,388.629,113.746,376.251,107.354,401.006,120.139,24.755,12.785,316.493,387.205,113.97,0,high,"M 401.006,113.241 L 398.973,113.241 L 398.973,107.354 L 378.487,107.354 L 378.487,111.82 L 376.251,111.82 L 376.251,117.093 L 378.487,117.093 L 378.487,120.139 L 398.973,120.139 L 398.973,117.295 L 401.006,117.295 L 401.006,113.241 Z"
building_part_020,16,東9号館,燃料電池イノベーション研究センター,1,367.432,97.518,358.808,92.549,376.056,102.487,17.248,9.938,171.411,367.26,100.661,0,high,"M 359.421,102.487 C 360.231,101.068 360.432,99.85 360.026,99.038 C 359.621,98.225 358.808,96.807 358.808,96.807 L 361.65,95.385 L 362.464,97.013 C 362.464,97.013 367.94,92.549 371.995,93.561 C 376.056,94.576 374.837,96.604 374.43,97.417 Z"
building_part_021,17,東10号館,先端ワイヤレス・コミュニケーション研究センター; UECコミュニケーションミュージアム本館,1,352.625,82.994,329.91,70.994,375.341,94.993,45.431,23.999,1090.299,349.627,82.086,0,high,"M 350.413,80.386 L 349.619,77.998 L 329.91,85.256 L 333.574,94.993 L 375.341,78.336 L 372.471,70.994 L 350.413,80.386 Z"
building_part_022,18,東31号館,,1,321.995,36.461,304.653,15.061,339.338,57.862,34.685,42.801,1484.553,338.726,53.786,0,high,"M 338.728,18.913 L 335.885,15.061 L 304.653,45.687 L 307.082,57.862 L 326.963,49.442 L 323.923,35.547 L 339.338,19.926 L 338.728,18.913 Z"
building_part_023,18,東31号館,,2,340.857,40.417,338.728,33.823,342.986,47.011,4.258,13.188,56.154,338.726,53.786,13.538,medium,"M 338.728,33.823 L 342.986,47.011 Z"
building_part_024,18,東31号館,,3,341.265,58.47,332.005,51.563,350.524,65.377,18.519,13.814,255.822,338.726,53.786,0,high,"M 348.139,51.563 L 332.005,57.266 L 334.387,65.377 L 350.524,59.675 L 348.139,51.563 Z"
building_part_025,19,東32号館,,1,360.384,58.469,353.507,49.332,367.261,67.607,13.754,18.275,251.354,361.574,62.241,0,high,"M 361.63,49.332 L 353.507,51.993 L 359.137,67.607 L 367.261,64.949 L 361.63,49.332 Z"
building_part_026,20,職員研修所,,1,354.044,44.473,350.263,41.623,357.826,47.322,7.563,5.699,43.101,361.267,41.61,7.769,high,"M 356.454,41.623 L 350.263,43.064 L 351.629,47.322 L 357.826,45.879 L 356.454,41.623 Z"
building_part_027,22,課外活動施設,,1,294.608,75.714,275.003,66.171,314.212,85.256,39.209,19.085,748.304,294.248,74.438,0,high,"M 311.219,66.171 L 275.003,75.318 L 277.995,85.256 L 314.212,76.106 L 311.219,66.171 Z"
building_part_028,23,東33号館,,1,276.645,101.301,271.348,91.187,281.941,111.414,10.593,20.227,214.264,275,95.662,0,high,"M 280.532,102.893 L 281.941,101.472 L 280.371,91.187 L 271.348,92.563 L 274.221,111.414 L 281.623,110.038 L 280.532,102.893 Z"
building_part_029,24,東34号館,,1,300.014,97.549,282.907,86.117,317.122,108.981,34.215,22.864,782.292,300.012,103.586,0,high,"M 314.246,86.117 L 282.907,90.534 L 284.16,98.433 L 286.542,98.004 L 288.217,108.981 L 317.122,104.967 L 314.246,86.117 Z"
building_part_030,25,東35号館,UECコミュニケーションミュージアム別館,1,296.015,138.305,279.017,120.674,313.013,155.937,33.996,35.263,1198.801,293.826,129.096,0,high,"M 313.013,132.543 L 311.466,120.674 L 281.728,124.4 L 283.2,135.69 L 279.017,136.265 L 281.45,155.937 L 292.325,154.451 L 289.969,135.427 L 313.013,132.543 Z"
building_part_031,26,保健管理センター,,1,326.86,174.594,313.776,166.302,339.944,182.886,26.168,16.584,433.97,313.227,173.505,0,high,"M 326.045,179.412 L 339.944,174.3 L 337.006,166.302 L 323.105,171.417 L 323.51,172.517 L 322.105,173.011 L 321.198,170.541 L 313.776,173.284 L 317.319,182.886 L 324.737,180.143 L 323.945,177.993 L 325.348,177.506 L 326.045,179.412 Z"
building_part_032,26,保健管理センター,,2,301.634,175.304,297.293,166.363,305.975,184.245,8.682,17.882,155.252,313.227,173.505,11.732,medium,"M 305.975,183.338 L 299.777,166.363 L 297.293,167.27 L 303.491,184.245 Z"
building_part_033,27,東3号館,附属図書館; 情報基盤センター,1,331.731,206.651,299.578,182.207,363.883,231.095,64.305,48.888,3143.743,333.184,197.153,0,high,"M 363.883,218.117 L 352.319,192.959 L 343.177,196.902 L 341.756,193.812 L 347.855,191.134 L 343.802,182.207 L 304.853,199.451 L 308.907,208.377 L 308.96,208.559 L 311.955,215.071 L 318.477,211.898 L 320.669,217.505 L 325.134,215.474 L 325.206,219.533 L 299.578,219.533 L 299.578,231.095 L 325.339,231.095 L 325.339,227.447 L 329.602,227.24 L 329.804,224.604 L 333.25,224.807 L 334.471,227.24 L 349.071,220.141 L 351.103,225.416 L 354.554,223.998 L 352.722,218.927 L 363.883,218.117 Z"
building_part_034,27,東3号館,附属図書館; 情報基盤センター,2,296.738,208.985,290.77,202.595,302.707,215.374,11.937,12.779,152.543,333.184,197.153,38.318,low,"M 299.154,202.595 L 290.77,205.655 L 294.32,215.374 L 302.707,212.313 L 299.154,202.595 Z"
building_part_035,28,東2号館,キャリア支援センター; 国際教育センター,1,317.835,248.845,301.605,242.658,334.065,255.032,32.46,12.374,401.661,306.785,248.832,0,high,"M 301.605,242.658 L 334.065,242.658 L 334.065,255.032 L 301.605,255.032 Z"
building_part_036,29,大学会館,,1,346.032,256.047,342.785,254.019,349.278,258.076,6.493,4.057,26.342,350.523,262.105,7.541,high,"M 342.785,254.019 L 349.278,254.019 L 349.278,258.076 L 342.785,258.076 Z"
