admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2020,Ⅰ類（情報系）,メディア情報学,哲学Ａ,HSS301z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",８単位を修得すること。,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,哲学Ｂ,HSS401z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,倫理学Ａ,HSS302z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,倫理学Ｂ,HSS402z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,心理学Ａ,HSS303z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,心理学Ｂ,HSS403z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,歴史学Ａ,HSS304z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,歴史学Ｂ,HSS404z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,科学史Ａ,HSS305z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,科学史Ｂ,HSS405z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,文学Ａ,HSS306z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,文学Ｂ,HSS406z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,美術Ａ,HSS307z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,美術Ｂ,HSS407z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,音楽Ａ,HSS308z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,音楽Ｂ,HSS408z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,経済学Ａ,HSS309z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,経済学Ｂ,HSS409z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,社会学Ａ,HSS310z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,社会学Ｂ,HSS410z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,法学Ａ,HSS311z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,法学Ｂ,HSS411z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,政治学Ａ,HSS312z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,政治学Ｂ,HSS412z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,地理学Ａ,HSS313z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 2, 3]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
2020,Ⅰ類（情報系）,メディア情報学,地理学Ｂ,HSS413z,2,未判定,総 合 文 化 科 目 / 人文・社会科学科目,"[1, 3, 4]",,youran2020-gakuiki.pdf,78,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=78
