admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2020,Ⅰ類（情報系）,情報数理工学,微分積分学第一,MTH101z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],修得した単位は共通 単位とする。,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,微分積分学第二,MTH201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,線形代数学第一,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,線形代数学第二,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,解析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,数学演習第一,MTH103z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,数学演習第二,MTH204z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,物理学概論第二,PHY201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,化学概論第一,CHM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,基礎プログラミングおよび演習,COM201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,物理学演習第一,PHY103z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,物理学演習第二,PHY202z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,化学概論第二,CHM202z,2,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
2020,Ⅰ類（情報系）,情報数理工学,離散数学,MTH205c,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,90,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=90
