admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2022,Ⅰ類（情報系）,経営・社会情報学,微分積分学第一,MTH101z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],修得した単位は共通 単位とする。,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,微分積分学第二,MTH201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,線形代数学第一,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,線形代数学第二,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,解析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,数学演習第一,MTH103z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,数学演習第二,MTH204z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,物理学概論第二,PHY201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,化学概論第一,CHM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,基礎プログラミングおよび演習,COM201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,物理学演習第一,PHY103z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,物理学演習第二,PHY202z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,化学概論第二,CHM202z,2,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,離散数学,MTH205b,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,確率論,MTH301b,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,計算機通論,COM301b,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,論理設計学,COM302b,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,プログラミング通論,COM303b,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,情報領域演習第一,COM202b,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,情報領域演習第二,COM304b,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,情報領域演習第三,COM401b,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,アルゴリズム論第一,COM402b,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,電気・電子回路,ELE301b,2,選択,類 共 通 基 礎 科 目 / 選 択 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
2022,Ⅰ類（情報系）,経営・社会情報学,複素関数論,MTH302b,2,選択,類 共 通 基 礎 科 目 / 選 択 科 目,[2],,youran2022-gakuiki.pdf,94,https://kyoumu.office.uec.ac.jp/youran/youran2022-gakuiki.pdf#page=94
