admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2021,Ⅱ類（融合系）,セキュリティ情報学,微分積分学第一,MTH101z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],修得した単位は共通 単位とする。 履修方法については注2を参照。 注3参照。,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,微分積分学第二,MTH201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,線形代数学第一,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,線形代数学第二,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,解析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,数学演習第一,MTH103z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,数学演習第二,MTH204z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,物理学概論第二,PHY201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,化学概論第一,CHM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,基礎プログラミングおよび演習,COM201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,物理学演習第一,PHY103z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,物理学演習第二,PHY202z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,化学概論第二,CHM202z,2,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,確率統計,MTH205e,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,力学,PHY203e,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,応用数学Ａ,MTH301e,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,基礎電気回路,ELE301e,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,基礎電磁気学,PHY301e,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,基礎演習Ａ,GSE301e,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,数値解析およびプログラミング演習,COM301e,3,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,アルゴリズムとデータ構造およびプログラミング演習,COM401e,3,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,離散数学,MTH302e,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,複素関数論,MTH303e,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,波動と光,PHY302e,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,応用数学Ｂ,MTH401e,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,力学演習,PHY303e,2,未判定,類 共 通 基 礎 科 目 / 科自 目由,[2],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,プログラミング言語実験,COM501e,2,必修,類 専 門 科 目 / セ キ ュ リ テ ィ 情 報 学 プ ロ グ ラ ム / 必 修 科 目,[3],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,セキュリティ情報学実験,COM601e,2,必修,類 専 門 科 目 / セ キ ュ リ テ ィ 情 報 学 プ ロ グ ラ ム / 必 修 科 目,[3],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,輪講Ａ,LAB701e,1,必修,類 専 門 科 目 / セ キ ュ リ テ ィ 情 報 学 プ ロ グ ラ ム / 必 修 科 目,[4],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,輪講Ｂ,LAB801e,1,必修,類 専 門 科 目 / セ キ ュ リ テ ィ 情 報 学 プ ロ グ ラ ム / 必 修 科 目,[4],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,卒業研究Ａ,LAB702e,3,必修,類 専 門 科 目 / セ キ ュ リ テ ィ 情 報 学 プ ロ グ ラ ム / 必 修 科 目,[4],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
2021,Ⅱ類（融合系）,セキュリティ情報学,卒業研究Ｂ,LAB802e,3,必修,類 専 門 科 目 / セ キ ュ リ テ ィ 情 報 学 プ ロ グ ラ ム / 必 修 科 目,[4],,youran2021-gakuiki.pdf,98,https://kyoumu.office.uec.ac.jp/youran/youran2021-gakuiki.pdf#page=98
