admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2026,Ⅲ類（理工系）,機械システム,侃分積分学弓,MTHlOlz,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],修褐した屯位は共通 単位とする。 修得した単位は共通単位 とする。（夜間主コース学 〉生が「分子生物学」の単 位を修得した場合は、専 門基碍科目の選択科目と する。） ，,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,彿分和分学；,MTH201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,：．形代数学,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,！，形代数学,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,月析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,悛学演習第一,MTH103z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,物理学概論第,PHY202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,I化学概論第一,CI-IM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
2026,Ⅲ類（理工系）,機械システム,基礎プログフミングおよび演習,ICOM201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,148,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=148
