admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2026,Ⅲ類（理工系）,物理工学,微分積分学,MTHlOlz,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],修得した単位は共通 単位とする。 ，,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,微分積分学,MTH20lz,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,，泉形代数学,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,根形代数学,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,辟析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,数学演習第一,MTl-ll03z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,数学演習第,MTH204z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,物理学概論第,PHY202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
2026,Ⅲ類（理工系）,物理工学,化学概論第一,CHM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,166,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=166
