admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2026,Ⅲ類（理工系）,電子工学,微分積分学第一,MTHlOlz,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],メ修得した単位は共通 単位とする。 修得した単位は共通単位 とする。（夜間主コース学 r生が「分子生物学」の単 位を修得した坦合は、専 門基礎科目の選択科目と する。） ，,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,微分積分学第二,MTH20lz,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,線形代数学第一,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,線形代数学第二,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,解析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,数学演習第一,MTH103z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,数学演習第二,MTH204z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,物理学概論第―,PHY202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
2026,Ⅲ類（理工系）,電子工学,化学概論第一,CHM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2026-gakuiki.pdf,154,https://kyoumu.office.uec.ac.jp/youran/youran2026-gakuiki.pdf#page=154
